event_id,event_date,country,fatalities
176092,1989-01-01,Iraq,25
145064,1990-01-19,Iraq,60
145063,1990-06-23,Iraq,34
145093,1991-01-29,Saudi Arabia,61
115811,1991-03-20,Iran,43
197477,1992-02-04,Venezuela,80
197479,1992-11-27,Venezuela,46
157465,1993-09-11,Iran,69
184766,1994-01-01,Mexico,45
115967,2001-04-21,Iran,70
115681,2008-12-29,Iran,42
115981,2009-04-24,Iran,26
115980,2009-10-18,Iran,42
115996,2010-07-15,Iran,28
119776,2010-12-15,Iran,41
115932,2011-07-16,Iran,90
343772,2011-09-04,Iran,36
108771,2012-03-05,Iraq,28
217256,2012-09-05,Iraq,25
108916,2012-11-06,Iraq,25
217328,2012-12-22,Iraq,46
51531,2013-01-23,Iraq,42
45887,2013-03-15,Iraq,30
46039,2013-04-15,Iraq,30
61893,2013-06-10,Iraq,29
62797,2013-08-28,Iraq,36
63018,2013-09-30,Iraq,38
63483,2013-12-08,Iraq,35
113986,2014-01-07,Iraq,25
114178,2014-02-22,Iraq,48
114306,2014-04-03,Iraq,42
114493,2014-05-18,Iraq,85
114839,2014-06-18,Iraq,71
120387,2014-07-18,Iraq,60
120723,2014-08-23,Iraq,27
142927,2014-09-23,Iraq,84
143208,2014-10-24,Iraq,58
150435,2014-11-28,Iraq,35
151555,2014-12-29,Iraq,90
196649,2015-01-30,Iraq,52
196787,2015-03-01,Iraq,50
198700,2015-03-31,Iraq,40
197035,2015-05-01,Iraq,25
197165,2015-06-01,Iraq,50
201102,2015-07-03,Iraq,35
198055,2015-08-09,Iraq,56
201156,2015-09-11,Iraq,44
198385,2015-10-14,Iraq,25
206787,2015-11-20,Iraq,50
206853,2015-12-21,Iraq,35
217499,2016-01-21,Iraq,35
217870,2016-02-26,Iraq,36
218801,2016-04-01,Iraq,60
224682,2016-05-01,Iraq,34
225196,2016-05-31,Iraq,90
225965,2016-07-07,Iraq,200
227462,2016-07-30,Saudi Arabia,31
227293,2016-08-07,Iraq,55
229815,2016-09-09,Iraq,50
232905,2016-10-17,Iraq,494
233413,2016-11-16,Iraq,33
233509,2016-12-16,Iraq,70
248996,2017-01-15,Iraq,30
245658,2017-02-19,Iraq,241
238473,2017-03-21,Iraq,77
426502,2017-03-21,Saudi Arabia,41
238508,2017-04-23,Iraq,35
245847,2017-05-27,Iraq,45
239817,2017-06-26,Iraq,42
246855,2017-08-20,Iraq,302
247083,2017-09-21,Iraq,234
247224,2017-10-24,Iraq,28
248897,2017-11-27,Iraq,80
258864,2018-01-01,Iraq,64
258879,2018-02-18,Iraq,29
275332,2018-03-22,Iraq,38
272391,2018-10-30,Iraq,36
278337,2019-02-13,Iran,28
336242,2020-01-08,Iran,176
332351,2020-02-25,Iraq,39
375193,2020-12-13,Iraq,42
391556,2021-03-11,Iraq,27
